"","state","city_mis"
"1","Alabama",0.172102034226671
"2","Alaska",0.170068027210884
"3","Arizona",0.141244759754918
"4","Arkansas",0.145772594752187
"5","California",0.0870752945193785
"6","Colorado",0.220123738196027
"7","Connecticut",0.187015503875969
"8","Delaware",0.206963249516441
"9","Florida",0.285541586073501
"10","Georgia",0.230657640232108
"11","Hawaii",0.377799415774099
"12","Idaho",0.231382373035755
"13","Illinois",0.307543520309478
"14","Indiana",0.24468085106383
"15","Iowa",0.25531914893617
"16","Kansas",0.16448326055313
"17","Kentucky",0.254352030947776
"18","Louisiana",0.186012627489072
"19","Maine",0.284282018111255
"20","Maryland",0.203094777562863
"21","Massachusetts",0.288684719535783
"22","Michigan",0.240245082231538
"23","Minnesota",0.295938104448743
"24","Mississippi",0.169245647969052
"25","Missouri",0.196065785230571
"26","Montana",0.236943907156673
"27","Nebraska",0.245036319612591
"28","Nevada",0.115446630119316
"29","New Hampshire",0.223404255319149
"30","New Jersey",0.207930367504836
"31","New Mexico",0.144794188861985
"32","New York",0.259725179020708
"33","North Carolina",0.230818826563507
"34","North Dakota",0.305488101019913
"35","Ohio",0.216085271317829
"36","Oklahoma",0.142166344294004
"37","Oregon",0.205661746915074
"38","Pennsylvania",0.244036105738233
"39","Rhode Island",0.233075435203095
"40","South Carolina",0.271407837445573
"41","South Dakota",0.288684719535783
"42","Tennessee",0.218387096774194
"43","Texas",0.17049576783555
"44","Utah",0.131273111463286
"45","Vermont",0.268858800773694
"46","Virginia",0.21297192642788
"47","Washington",0.1747823282812
"48","West Virginia",0.290697674418605
"49","Wisconsin",0.29110251450677
"50","Wyoming",0.264050387596899
